2015-02-08 17:05:57, FIXNETIX-139, fixlondon_zbot, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgnsa.exe, 3232

2015-02-08 17:05:59, FIXNETIX-139, fixlondon_zbot, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgcsrva.exe, 3836

2015-02-08 17:06:20, FIXNETIX-139, fixlondon_zbot, yaramem, C:\Windows\system32\conhost.exe, 6804

2015-02-08 17:08:52, FIXNETIX-165, fixlondon_zbot, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgnsa.exe, 2756

2015-02-08 17:08:54, FIXNETIX-165, fixlondon_zbot, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgcsrva.exe, 3384

2015-02-08 17:09:32, FIXNETIX-165, fixlondon_zbot, yaramem, C:\windows\system32\conhost.exe, 4988

2015-02-08 17:12:34, FIXNETIX-315, fixlondon_zbot, yaramem, C:\Program Files\Trend Micro\AMSP\coreServiceShell.exe, 1928

2015-02-08 17:12:49, FIXNETIX-315, fixlondon_zbot, yaramem, C:\Windows\system32\conhost.exe, 4536

2015-02-08 17:29:52, FIXNETIX-082, fixlondon_zbot, yaramem, C:\Program Files\AVG\AVG2013\avgnsx.exe, 3156

2015-02-08 17:29:55, FIXNETIX-082, fixlondon_zbot, yaramem, C:\Program Files\AVG\AVG2013\avgcsrvx.exe, 3428

2015-02-08 17:30:20, FIXNETIX-082, fixlondon_zbot, yaramem, C:\Windows\system32\conhost.exe, 2008

2015-02-08 17:47:37, FIXNETIX-309, fixlondon_zbot, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgnsa.exe, 2148

2015-02-08 17:47:50, FIXNETIX-309, fixlondon_zbot, yaramem, C:\windows\system32\conhost.exe, 1716

2015-02-09 14:18:21, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgcsrva.exe, 336

2015-02-09 14:18:21, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\wininit.exe, 600

2015-02-09 14:18:22, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\services.exe, 652

2015-02-09 14:18:23, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\lsass.exe, 668

2015-02-09 14:18:23, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\lsm.exe, 676

2015-02-09 14:18:23, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 792

2015-02-09 14:18:23, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\winlogon.exe, 852

2015-02-09 14:18:23, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 916

2015-02-09 14:18:24, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\System32\svchost.exe, 964

2015-02-09 14:18:25, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\System32\svchost.exe, 500

2015-02-09 14:18:26, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 544

2015-02-09 14:18:26, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 596

2015-02-09 14:18:26, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 1096

2015-02-09 14:18:27, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 1284

2015-02-09 14:18:27, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\System32\spoolsv.exe, 1408

2015-02-09 14:18:27, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\svchost.exe, 1444

2015-02-09 14:18:28, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, c:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe, 1556

2015-02-09 14:18:31, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgidsagent.exe, 1580

2015-02-09 14:18:32, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgwdsvc.exe, 1612

2015-02-09 14:18:32, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files\ShrewSoft\VPN Client\iked.exe, 1676

